"ac_type"|"cn_ln"|"crew_aboard"|"crew_fatalities"|"date"|"flight_no"|"ground"|"location"|"operator"|"passengers_aboard"|"passengers_fatalities"|"registration"|"route"|"summary"|"time"|"total_aboard"
"Lockheed C-130H"|"3924"|"8"|"0"|"December 10, 1999"|"?"|"0"|"Kuwait City, Kuwait"|"Military - U.S. Air Force"|"86"|"3"|"63-7854"|"?"|"Crashed  2,900 ft. short of the runway causing extensive damage. The pilot was unable to get the aircraft airborne following the impact. Weather was below minima. Crew failed to monitor their instruments, became spatially disoriented and failed to arrest a high rate of descent. Pilot was inexperienced."|"?"|"94"
"British Aerospace APT"|"2030"|"4"|"4"|"December 11, 1999"|"530"|"0"|"Sao Jorge, Azores (Portugal)"|"SATA"|"31"|"31"|"CS-TGM"|"Ponta Delgada - Horta"|"The plane crashed 30 minutes after leaving Ponta Delgada, Sao Miguel Island bound for Horta, Faial Island in the Azores. The plane lost contact with the Horta control tower 10 minutes before it was scheduled to land.  Witnesses said the plane was flying very low before they saw the plane crash into Mount Esperanca on the island of Sao Jorge."|"c 09:20"|"35"
"McDonnell Douglas DC-10-30"|"46890/77"|"18"|"8"|"December 21, 1999"|"261"|"2"|"Guatemala City, Guatemala"|"Cubana de Aviacon"|"296"|"8"|"F-GTDI"|"Havana - Guatemala City"|"While attempting to land at La Aurora International Airport, the aircraft overshot the runway, rolled down an embankment and crashed into houses in the La Libertad section of the city. Witnesses say the plane was unable to stop after it began its landing too far down the runway. The crew failed to initiate a go-around after overshooting on a wet runway with insufficient deceleration to make a safe stop. Leased from AOM."|"09:40"|"314"
"Boeing 747-2B5F"|"22480/448"|"4"|"4"|"December 22, 1999"|"8509"|"0"|"Great Hallingbury, United Kingdom"|"Korean Air"|"0"|"0"|"HL-7451"|"London, England - Milan, Italy"|"Shortly after taking off the ADI comparator alarm sounded three times. Shortly afterwards, the warning sounded a further two times. As the captain initiated a procedural turn to the left, the comparator warning sounded 9 more times.. The aircraft then banked left progressively and entered a descent until it struck the ground in a 40 degree nose down attitude at a high rate of speed. The pilots did not respond appropriately to the comparator warnings during the climb after takeoff from Stansted despite prompts from the flight engineer. The commander, as the handling pilot, maintained a left roll control input, rolling the aircraft to approximately 90 of left bank and there was no control input to correct the pitch attitude throughout the turn. The first officer either did not monitor the aircraft attitude during the climbing turn or, having done so, did not alert the commander to the extreme unsafe attitude that developed."|"18:38"|"4"
"Airbus A300B2-101"|"036"|"15"|"1"|"December 24, 1999"|"814"|"0"|"Amritsar, India / Kandahar, Afghanistan"|"Indian Airlines"|"174"|"0"|"VT-EDW"|"Kathmandu - New Delhi"|"The plane was hijacked and subsequently flown to Amritsar, India, Lahore, Pakistan, al-Minhar Air Base, Dubai and Kandahar, Afghanistan. The hijacking lasted 7 days. One crewmember was killed."|"?"|"189"
"Yakovlev YAK-42D"|"4520424914068"|"10"|"10"|"December 25, 1999"|"310"|"0"|"Bejuma, Venezuela"|"Cubana de Aviacion"|"12"|"12"|"CU-T1285"|"Havana - Valencia"|"While on approach, after circling for 40 minutes and 5 miles from Valencia Airport,  the aircraft crashed into the Tocuyito mountain range and exploded in flames. The airport at Valencia was being used as operations at Simon Bolivar International Airport, Caracas had been disrupted by flooding in the region."|"20:15"|"22"
"de Havilland Canada DHC-6 Twin Otter"|"796"|"3"|"3"|"December 25, 1999"|"?"|"0"|"Near Simara, Nepal"|"Skyline Airways"|"7"|"7"|"9N-AFL"|"Simara - Kathmandu"|"The aircraft crashed 5 minutes after taking off from Simara.  The aircraft was observed not following the usual route into the mountains."|"15:02"|"10"
"Antonov 28"|"?"|"6"|"6"|"December 29, 1999"|"?"|"0"|"Near Zonguldak, Turkey"|"Ecuato Guineana de Aviacion"|"0"|"0"|"3C-JJI"|"Kiev, Russia - Tehran, Iran"|"While on a positioning flight the aircraft crashed into the Black Sea after stating they were diverting to Ankara Turkey."|"?"|"6"
"Embraer 110P1A Bandeirante"|"110-455"|"3"|"0"|"January 05, 2000"|"?"|"1"|"Abuja, Nigeria"|"Skypower Express Airways"|"13"|"1"|"5N-AXL"|"Lagos - Abuja"|"During a visual approach the aircraft stalled and pancaked 400 ft. short of the runway."|"?"|"16"
"Saab 340B"|"213"|"3"|"3"|"January 10, 2000"|"498"|"0"|"Niederhasli, Switzerland"|"Crossair"|"7"|"7"|"HB-AKK"|"Zürich - Dresden"|"The aircraft crashed shortly after taking off, 8 km from the airport in light rain. After departing, the captain turned the aircraft to the right instead of to the left. The first officer advised the captain he should be turning right and ATC also asked about the direction taken. ATC then cleared the aircraft for a right turn. Soon after, the pitch decreased rapidly accompanied by a marked speed increase and plane entered a high speed, high-rate, spiral descent and crashed into an open field. The flight crew reacted inappropriately to the change in departure clearance SID ZUE 1Y by ATC. The first officer made an entry in the FMS, without being instructed to do so by the commander, which related to the change to the SID ZUE 1 standard instrument departure. In doing so, he omitted to select a turn direction. The captain dispensed with use of the autopilot under instrument flight conditions and during the work-intensive climb phase of the flight. The captain took the aircraft into a spiral dive to the right because, with a probability bordering on certainty, he had lost spatial orientation. The first officer took only inadequate measures to prevent or recover from the spiral dive."|"17:54"|"10"
"Shorts 360-300"|"SH-3763"|"3"|"1"|"January 13, 2000"|"?"|"0"|"Off Marsa el-Brega, Libya"|"Avisto"|"38"|"21"|"HB-AAM"|"Tripoli IAP - Marsa el-Brega"|"The aircraft was on a flight from Tripoli to Marsa el-Brega Libya ferrying oil workers. As the twin engine plane approached Marsa El-Brega, the crew experienced a double engine failure and ditched into the sea. Failure of the crew to use the anti-icing system which led to the ingestion of melting ice into both engines causing failure of both engines."|"12:38"|"41"
"Let 410UVP-E"|"861620"|"3"|"1"|"January 15, 2000"|"?"|"0"|"San Jose, Costa Rica"|"TACA"|"17"|"4"|"YS-09-C"|"San Jose - Tortuguero"|"The aircraft was not able to maintain altitude after taking off and crashed into a house. The aircraft was overloaded. Lack of safety instruction to passengers. Flaps not properly selected. Took off without clearance."|"13:10"|"20"
"Beechcraft King Air C90"|"?"|"3"|"3"|"January 25, 2000"|"?"|"0"|"Near Ankara, Turkey"|"Top Air - Air Taxi"|"1"|"1"|"?"|"Ankara - Istanbul"|"The aircraft crashed near a pond 25 km from Cubuk, 20 minutes after taking off. Failure to use de-icing and poor weather was to blame."|"18:09"|"4"
"AirbusA310-304"|"426"|"10"|"10"|"January 30, 2000"|"431"|"0"|"Off Abidjan, Ivory Coast"|"Kenya Airways"|"169"|"159"|"5Y-BEN"|"Abidjan - Lagos"|"The aircraft crashed into the Atlantic Ocean three minutes after taking off from Felix Houphouet-Boigny Airport.  A few seconds after lifting off the ground the stall warning sounded and continued for about 20 seconds until it was manually turned off by the crew. Three seconds later the plane impacted the water. The pilot's response to an alarm that inaccurately indicated the plane had stalled. The pilot failed to complete established procedure for such an emergency. Takeoff conditions also contributed to the accident, which occurred at night, hampering the crew's ability to judge the plane's distance from the sea."|"21:08"|"179"
"McDonnell Douglas MD-83"|"53077/1995"|"5"|"5"|"January 31, 2000"|"261"|"0"|"Off Point Mugu, California"|"Alaska Airlines"|"83"|"83"|"N963AS"|"Puerto Vallarta - San Francisco"|"The aircraft crashed into the Pacific Ocean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude, spinning and tumbling in a continuous roll, inverted, before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension, which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension, which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophic effects of total acme nut thread loss. Cynthia Oti, radio financial talk show host, Dean Forshee, guitarist, Jean Gandesberry, columnist, Tom Stockley, columnist were among those killed."|"16:21"|"88"
"Lockheed C-130 Hercules"|"?"|"?"|"?"|"February 02, 2000"|"?"|"0"|"Tehran, Iran"|"Military - Islamic Republic of Iran Air Force"|"?"|"?"|"?"|"Training"|"Crashed on take off."|"?"|"8"
"Cessna U206G"|"U20604099"|"1"|"1"|"February 05, 2000"|"?"|"0"|"Iliamna, Alaska"|"Air Taxi - Iliamna, Air Taxi Inc."|"5"|"5"|"N756HG"|"Ilianma, AK - Koliganek, AK"|"The airplane impacted level terrain, covered by smooth, wind-blown, snow, in a left bank of 26 degrees or greater. The pilot's attempted flight into adverse weather, and his failure to maintain altitude/clearance above the snow-covered tundra. Factors associated with the accident were snow, rain, and whiteout conditions."|"16:00"|"6"
"McDonnell Douglas DC-8-71F"|"45947/341"|"3"|"3"|"February 16, 2000"|"17"|"0"|"Sacramento, California"|"Emery Worldwide"|"0"|"0"|"N8079U"|"Sacramento, CA - Dayton, OH"|"The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt."|"19:50"|"3"
"Boeing B-737-3T5"|"23060/1069"|"5"|"0"|"March 05, 2000"|"1455"|"0"|"Burbank, Calilfornia"|"Southwest Airlines"|"137"|"0"|"N668SW"|"Las Vegas - Burbank"|"While attempting to land at Burbank Airport, the plane overran the runway, collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots, 2,150 feet past the runway threshold, too fast and too far down the runway for the plane to stop in time.  In the accident sequence,  the nose gear collapsed, the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat, which was occupied by two flight attendants, partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver."|"18:11"|"142"
"Yakovlev YAK-40"|"9620847"|"5"|"5"|"March 09, 2000"|"?"|"0"|"Moscow, Russia"|"Vologodskiye Airlines"|"4"|"4"|"RA-88170"|"Moscow - Kiev"|"The aircraft climbed to an altitude of about 100 ft., stalled, lost control and crashed. Ice build up on the wings. Flaps incorrectly set."|"08:40"|"9"
"de Havilland Canada DHC-6 Twin Otter 300"|"624"|"2"|"2"|"March 17, 2000"|"?"|"0"|"Near Kuna Yala, Panama"|"Aeroperlas"|"8"|"8"|"HP-1267APP"|"Panama City - Puerto Obaldia"|"Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2,500 ft. level of a 2,790 ft. mountain.  Weather was poor at the time."|"09:30"|"10"
"Douglas C-47A-5-DK"|"12344"|"2"|"2"|"March 17, 2000"|"?"|"0"|"Ennadai Lake, Canada"|"Points North Air Services"|"0"|"0"|"C-FNTF"|"Points North Landing, SK - Ennadai Lake"|"After lifting off the cargo plane entered a steep, nose-up attitude, banked to the left, and crashed. The pilot lost control of the aircraft while conducting a go-around from a aborted landing on the ice strip.  The aircraft's center of gravity on the accident flight was beyond the aft C of G limit. The crew did not recalculate the aircraft's weight and balance for the second flight. Leaks in the heater shroud allowed carbon monoxide gas to contaminate cockpit and cabin air."|"12:31"|"2"
"CASA 212-DE Aviocar 200"|"314"|"?"|"?"|"March 22, 2000"|"?"|"?"|"Herreira, Spain"|"Military - Ejército del Aire"|"?"|"?"|"TM-12D-73"|"Sevilla - Herreira"|"Crashed while attempting to land in poor weather."|"?"|"?"
"Antonov AN-12 (freighter)"|"8346004"|"8"|"6"|"March 24, 2000"|"?"|"2"|"Kadirana, Sri Lanka"|"Sky Cabs"|"0"|"0"|"RA-11302"|"Bangkok - Colombo"|"The pilot -in-command made two requests to land because he was low on fuel. While attempting to land, he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses."|"18:04"|"8"
"Antonov AN-32"|"ZZX3201"|"4"|"0"|"March 25, 2000"|"?"|"0"|"Huambo, Angola"|"Uralex"|"29"|"3"|"D2-MAJ"|"Huambo - Luanda"|"The aircraft, leased from a Ukrainian company, overran they runway and crashed into a ditch after an aborted takeoff."|"?"|"33"
"Antonov An-26"|"13410"|"4"|"4"|"March 30, 2000"|"?"|"0"|"Near Anuradhapura, Sri Lanka"|"Sri Lankan Air Force"|"36"|"36"|"UR-79170"|"Jaffna/Palaly AFB - Anuradhapura AFB"|"The crew reported engine trouble 10 minutes before it crashed while en route. Members of the Liberation Tigers confessed to firing missiles at the plane."|"?"|"40"
"Cessna 208 Caravan"|"208-00311"|"1"|"1"|"April 01, 2000"|"?"|"0"|"Near Gualeguaychu, Argentina"|"Taxval"|"0"|"0"|"LV-ZSR"|"?"|"Crashed shortly after taking off in fog. The pilot was not qualified to fly in IFR conditions."|"08:00"|"1"
"Learjet 35A"|"35-194"|"3"|"3"|"April 05, 2000"|"?"|"0"|"Marianna, Florida"|"Bankair"|"0"|"0"|"N86BE"|"Opa-Locka - Marianna"|"While on finals the training flight pitched up, the right wing dropped, and the airplane struck trees, struck wires, caught fire on a road. The pilot's failure to maintain control of the airplane while on final approach resulting in the airplane striking trees. Factors in this accident were: improper planning of the approach, and not obtaining the proper alignment with the runway."|"09:30"|"3"
"Cessna 208B Caravan I"|"208B-0220"|"1"|"1"|"April 19, 2000"|"?"|"0"|"Bukavu, Democratic Republic Congo"|"Kivu Air Services"|"1"|"1"|"ZS-ONT"|"?"|"The charter flight crashed in the Kahuzi-Biega National Park."|"?"|"2"
"Boeing B-737-2H4"|" 21447/508"|"7"|"7"|"April 19, 2000"|"541"|"0"|"Samal Island, Philippines"|"Air Philippines"|"124"|"124"|"RP-C3010"|"Manila - Davao"|"The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1,500 feet."|"07:02"|"131"
"Antonov AN-8"|"9340706"|"4"|"4"|"April 19, 2000"|"?"|"0"|"Pepa ,Congo"|"Military - Centrafricain Airlines"|"20"|"20"|"TL-ACM"|"Pepa, Congo - Kigali, Rwanda"|"The military flight crashed after losing its engines after striking birds,unable to return to land."|"?"|"24"
"Britten-Norman BN-2A-20 Islander"|"703"|"3"|"3"|"April 29, 2000"|"?"|"0"|"Bapi, Papua New Guinea"|"North Coast Aviation"|"1"|"1"|"P2-ISA"|"?"|"While taking off the plane struck trees at the end of the runway, crashed and burned."|"?"|"4"
"Learjet 35A"|"35-646"|"2"|"2"|"May 02, 2000"|"4B"|"0"|"Lyon Satolas, France"|"Northern Executive Aviation"|"3"|"0"|"G-MURI"|"?"|"During a landing attempt the crew shut down No. 1 engine and declared an emergency. The plane was told to divert to Lyon Satolas. Power was applied to the remaining engine and the plane banked to the left causing the wing to touch the ground, crash and catch fire. Loss of yaw and roll control which appears to be due to the failure to monitor flight symmetry at the time of the thrust increase on the right engine."|"14:39"|"5"
"Britten-Norman BN-2A-9 Islander"|"694"|"1"|"1"|"May 03, 2000"|"?"|"0"|"Kurupung, Guyana"|"Trans Guyana Airways"|"0"|"0"|"8R-GAC"|"?"|"The cargo plane crashed into a cloud covered mountain."|"?"|"1"
"Rockwell Sabreliner 65"|"465-5"|"2"|"2"|"May 10, 2000"|"?"|"0"|"Kaunakakai, Hawaii"|"Price Aircraft Company"|"4"|"4"|"N241H"|"Kahului - Hoolehua"|"While on approach the charter flight hit the ridge of a mountain. Inadequate crew coordination led to the captain's decision to discontinue the instrument approach procedure and initiate a maneuvering descent solely by visual references at night in an area of mountainous terrain. The crew failed to review the instrument approach procedure and the copilot failed to provide accurate information regarding terrain clearance and let down procedures during the instrument approach."|"20:30"|"6"
"Beechcraft 1900C-1"|"UC-133"|"2"|"1"|"May 17, 2000"|"?"|"0"|"Moanda, Gabon"|"Avirex"|"8"|"2"|"TR-LFK"|"Libreville - Moanda"|"The charter flight crashed while on approach in fog and mist."|"09:47"|"10"
"BAe Jetstream 3101-31"|"834"|"2"|"2"|"May 21, 2000"|"Charter"|"0"|"Near Wilkes-Barre, Pennsylvania"|"Executive Airlines"|"17"|"17"|"N16EJ"|"Atlantic City - Wilkes-Barre"|"The plane crashed into a heavily wood area  as it was making a second approach to Wilkes-Barre/Scranton International Airport. Visibility was poor in wind, low clouds and light rain.  While attempting the second approach, the pilot reported both engines had quit but restarted one of them before the plane crashed. Investigation revealed indications of rotation on the left engine at the time of impact but the power level was not known. The right engine and propellers exhibited little or no rotation at the time of impact. Failure of the crew to ensure an adequate supply of fuel for the flight, which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine.  Failure of the crew to monitor the plane's fuel state and the flightcrews failure to maintain directional control after the initial stoppage."|"11:28"|"19"
"Shorts 330-200"|"SH-3064"|"2"|"1"|"May 25, 2000"|"200"|"0"|"Paris, France"|"Streamline"|"0"|"0"|"G-SSWN"|"Paris - London"|"Midair collision with a MD-83 after taxing on the runway."|"02:50"|"2"
"Airbus A.330-301"|"?"|"14"|"0"|"May 25, 2000"|"812"|"0"|"Near Manila, Philippines"|"Philippine Air Lines"|"284"|"1"|"F-OHZN"|"Davao - Manila"|"A hijacker robbed passengers, jumped out of the plane with a homemade parachute and was killed in the jump."|"?"|"298"
"Piper PA-31-350 Navajo"|"31-8152180"|"7"|"7"|"May 31, 2000"|"904"|"0"|"Off Whyalla, Australia"|"Whyalla Airlines"|"1"|"1"|"VH-MZK"|"Adelaide - Whyalla"|"En route and descending at Whyalla,  at 6,000 ft., the pilot transmitted a MAYDAY, reporting that both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine, leading to the No. 6 piston being holed in the right engine."|"19:05"|"8"
"Fokker F-27 Friendship 600"|"10535"|"4"|"0"|"June 05, 2000"|"200"|"0"|"Accra, Ghana"|"Ghana Airlink"|"48"|"7"|"G-524"|"Tamale - Accra"|"The plane made a hard landing, short of the runway and broke in two during a heavy rainstorm."|"11:35"|"52"
"Piper PA-31-350 Navajo"|"31-7652172"|"1"|"1"|"June 14, 2000"|"-"|"0"|"Liverpool, England"|"ANT Air Taxi"|"4"|"4"|"G-BMBC"|"Ronaldsway - Liverpool"|"Engaged in an air ambulance operation, the plane crashed into the sea, in the estuary of the River Mersey, 0.8  nm from Liverpool Airport while on approach to land.  The pilot lost control of the aircraft at a late stage of the approach due either to disorientation, distraction, incapacitation, or a combination of these conditions."|"09:50"|"5"
"Beech Baron"|"?"|"1"|"1"|"June 21, 2000"|"?"|"0"|"Cuiaba, Brazil"|"Air taxi - Jao Air Taxi"|"3"|"3"|"PT-LGL"|"Cuiaba - Rondonopolis"|"Fifteen minutes into the flight under foggy conditions and low ceiling, the aircraft entered a sharp descent and struck a tree and the ground."|"07:15"|"4"
"Xian Yunshuji Y-7-100C"|"06708"|"4"|"4"|"June 22, 2000"|"343"|"7"|"Shitai, China"|"Wuhan Airlines"|"40"|"40"|"B-3479"|"Enshi - Wuhan"|"The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash."|"15:16"|"44"
"Learjet 55"|"55-050"|"2"|"2"|"June 23, 2000"|"?"|"0"|"Boca Raton, Florida"|"Universal Jet Aviation"|"1"|"1"|"N220JC"|"Boca Raton - Fort Pierce"|"Shortly after takeoff the aircraft impacted another plane and crashed to the ground. The failure of the pilot's of both airplanes to maintain a visual lookout while climbing and maneuvering resulting in an in-flight collision and subsequent collision with residences and terrain."|"11:41"|"3"
"Kawasaki C-1A"|"8027"|"5"|"5"|"June 27, 2000"|"?"|"0"|"Off Shimano, Japan"|"Military - Japanese Air Self-Defence Force"|"0"|"0"|"88-1027"|"Training"|"Crashed into the sea during a test flight."|"?"|"5"
"GAF Nomad N-22C"|"86"|"4"|"4"|"July 02, 2000"|"?"|"0"|"Off Cagayancillo, Philippines"|"Military - Philippine Air Force"|"11"|"10"|"N286"|"Cagayancillo - Puerto Princesa"|"Engine problems forced the pilot to return to the airport. However, he overshot the runway and crashed into the sea. One passenger was rescued by fishermen. Major General Santiago Madrid, chief of the southwestern military command, killed."|"10:50"|"15"
"British Aerospace  BAe Jetstream 32EP"|"912"|"2"|"2"|"July 08, 2000"|"7831"|"0"|"Near Villahermosa, Mexico"|"Aerocaribe"|"17"|"17"|"N912FJ"|"Tuxtla Gutierrez - Villahermosa"|"The plane crashed into a heavily forested area 42 miles southeast of Villahermosa. There was fog and rain in the area  at the time.  Flying VFR, deviation to avoid weather resulted in spatial disorientation of the crew which led to descending below a safe flying altitude to clear high ground."|"c 19:50"|"19"
"Curtiss C-46A-60-CS"|"383"|"4"|"4"|"July 09, 2000"|"?"|"0"|"Villavicencio, Colombia"|"CORAL Colombia"|"15"|"9"|"HK-851P"|"Villavicencio - Mitu"|"The cargo plane had 19 people aboard when it crashed into a farm after losing the No. 2 engine, two minutes after taking off from Villavicencio."|"08:37"|"19"
"de Havilland Canada DHC-6 Twin Otter 200"|"163"|"1"|"1"|"July 13, 2000"|"?"|"0"|"Raleigh, North Carolina"|"Win Win Aviation"|"2"|"0"|"N201RH"|"Hinckley, IL - Louisburg, NC"|"The plane, on a positioning flight crashed into rugged woods during an approach to land. The pilot's continued VFR flight into IMC conditions, by failing to maintain altitude, and descending from VFR conditions into IMC, which resulted in him subsequently impacting with trees. Factors in this accident were: reduced visibility due to dark night and fog. An additional factor was the pilot was not certified for instrument flight."|"00:34"|"3"
"Boeing B-737-2A8 Advanced"|"22280/671"|"6"|"6"|"July 17, 2000"|"7412"|"5"|"Patna, India"|"Indian Airlines/Alliance Airlines"|"52"|"49"|"VT-EGD"|"Calcutta - Patna - Lucknow - New Delhi"|"While attempting to land at Patna, the aircraft was too high and the crew attempted a go-around. During the second landing attempt, the aircraft was again high, veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure, which resulted in the aircraft being high on approach. The crew then initiated a ""go-around procedure"" instead of an ""approach to stall recovery procedure"" resulting in an actual stall of the aircraft, loss of control and subsequent impact with the ground."|"07:34"|"58"
"Grumman G-159 Gulfstream I"|"154"|"2"|"2"|"July 19, 2000"|"9807"|"0"|"Linneus, Maine"|"Airwave Transport"|"0"|"0"|"C-GNAK"|"Moncton - Montreal"|"After declaring an emergency the cargo plane crew requested the nearest airport. The aircraft soon after descended out of control and crashed on the eastern side of the Meduxnekeag River. The pilot-in-command's failure to maintain minimum control airspeed, which resulted in a loss of control. Factors in this accident were clouds, and a loss of engine power for undetermined reasons, while in cruise flight above the airplane's single engine service ceiling."|"00:30"|"2"
"Douglas C-47A-10-DK"|"12475"|"2"|"2"|"July 20, 2000"|"?"|"0"|"Nassau, Bahamas"|"Allied Air Freight"|"0"|"0"|"N54AA"|"?"|"The cargo plane lost an engine on takeoff lost altitude and crashed 2 miles east of the airport."|"13:12"|"2"
"Aerospatiale AS355-F1"|"5168"|"1"|"1"|"July 21, 2000"|"?"|"0"|"Maui, Hawaii"|"Blue Hawaiian Helicopters"|"6"|"6"|"N510TG"|"Sight seeing"|"The helicopter, on a sightseeing tour, crashed into mountains on the western slopes of Maui at an elevation of 2,850 feet inclement weather."|"10:20"|"7"
"Aerospatiale BAe Concorde 101"|"203"|"9"|"9"|"July 25, 2000"|"4590"|"4"|"Gonesse, France"|"Air France"|"100"|"100"|"F-BTSC"|"Paris - New York City"|"The aircraft struggled to gain altitude after taking off from Charles de Gaulle airport. The pilot reported the No. 2 engine failed and struggled to steer towards Le Bourget airfield as smoke and fire trailed the jet's left wing.   The plane was unable to gain altitude, went nose high, stalled and crashed into a small hotel complex.  A metal strip left on the runway by another plane gashed one of the Concorde's tires which blew out sending a piece of rubber into the underside of the wing which sent a shockwave which ruptured a seam in the fuel tank. An electrical severed by another piece of rubber sparked which ignited leaking fuel ignited and started an uncontrollable fire. Power was lost to the No. 1 and No. 2 engines which led to loss of control of the aircraft and subsequent crash. Investigation revealed the metal strip was probably a thrust reverser part from Continental Airlines DC-10-30 , registered N13067 which departed Paris as Flight 055 to Newark. This is the first crash of a Concorde in aviation history. The French government convicted Continental and a Continental mechanic of a crime but an appeals court reversed the decision."|"16:44"|"109"
"Lockheed C-130H Hercules"|"4073"|"?"|"?"|"July 26, 2000"|"?"|"0"|"Mafraq, Jordan"|"Military - Royal Jordanian Air Force"|"?"|"?"|"348"|"?"|"Crashed on a training flight."|"?"|"13"
"de Havilland Canada DHC-6 Twin Otter 300"|"654"|"3"|"3"|"July 27, 2000"|"?"|"0"|"Jodhura, Nepal"|"Royal Nepal Airlines"|"22"|"22"|"9N-ABP"|"Bajhang - Dhangadhi"|"The aircraft crashed into the Churia mountain range at 4,300 ft., 20 minutes into a 30 minute flight to Dhangadhi in rain and fog."|"10:31"|"25"
"Sikorsky S-76"|"?"|"1"|"1"|"August 02, 2000"|"?"|"0"|"Cubatao, Brazil"|"Air taxi - Lider Air Taxi"|"5"|"5"|"PT-HRD"|"Cubatao - Navegantes"|"The helicopter exploded and crashed from a height of 1,000 ft."|"08:45"|"6"
"Casa 212-AB10 Aviocar"|"AB10-454"|"4"|"4"|"August 06, 2000"|"-"|"0"|"Puerto Montt, Chile"|"Military - Fuerza Aérea de Chile"|"10"|"10"|"230"|"Santiago - Coihaique"|"The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later."|"15:55"|"14"
"Piper Navajo PA-31/ Piper Seminole PA-44"|"7952056/79951271"|"3"|"3"|"August 09, 2000"|"?"|"0"|"Burlington Township, New Jersey"|"Patuxent Airways / Private"|"8"|"8"|"N27944 / N2225G"|"Lakehurst, NY - Patuxent River, MD"|"The two aircraft collided over a central New Jersey subdivision, scattering debris over a wide area. The Navajo had taken off from Lakehurst Naval Air Station and the Seminole from Northeast Philadelphia Airport.  The Navajo crashed into a two-story house while the Seminole fell into a soybean field. Two pilots and seven passenger were killed on the Navajo as were a pilot instructor and his student on the Seminole. Failure of the pilots of the two airplanes to see and avoid each other and maintain proper airspace separation during visual flight rules."|"08:00"|"11"
"Antonov AN-26B"|"?"|"6"|"6"|"August 12, 2000"|"?"|"0"|"Near Tshikapa, Congo"|"Staer Air"|"21"|"21"|"?"|"Kinshasa - Tshikapa"|"The plane was approaching Tshikapa and the pilot informed the tower that it was having difficulties with its landing gear. The tower told the pilot to do a low fly-by for an evaluation and then make an emergency landing but the pilot refused and attempted to return to Kinshasa. The plane crashed 40 miles north of Tshikapa."|"?"|"27"
